                          DMB pitching register -- All players in database                          
                                           Regular season                                           

Name                    Team    P Age    ERA   W   L   S   G  GS  CG SHO    INN   H   R  ER  BB   K  HR GDP 
Mike Morgan             ES?    mr  28   5.68   5   3   0  15   8   0   0   57.0  68  38  36  22  18   4   4 
Jack Morris             TEW    sp  33   3.30  14   7   0  33  33   3   0  223.2 234  95  82  51 129  10  20 
Jamie Moyer*            BAR    sp  25   2.58  18   9   0  37  36   1   0  223.2 188  73  64  50 131  19  17 
Terry Mulholland*       CCC    sp  25   5.08   2   2   8  43   0   0   0   44.1  71  25  25   8  16   5   7 
Rob Murphy*             BBG    mr  28   2.38   3   3   9  38   0   0   0   34.0  30  13   9  17  30   1   2 
Jeff Musselman*         BAR    sp  25   1.44   3   2   0  12   8   0   0   56.1  48  13   9  13  28   2   7 
Randy Myers*            CIN    cl  25   1.53   2   1  21  56   0   0   0   70.2  57  13  12  15  71   7   5 
Gene Nelson             CEN    mr  27   2.59   7   4   0  26  11   1   0   93.2  85  32  27  24  64   4   7 
Rod Nichols             NEE    sp  23   3.25   7   6   4  55   0   0   0   74.2  77  36  27  20  35   5   8 
Juan Nieves*            CEN    sp  23   1.87   2   2   0   9   6   1   1   43.1  26  10   9  10  23   3   3 
Al Nipper               SUN    sp  29   5.23   1   1   0  11   4   1   0   32.2  35  24  19   9   9   5   3 
Ed Nunez                GBP    mr  25   5.30   2   4   0   8   6   0   0   37.1  43  23  22  20  30   7   8 
Jose Nunez              ES?    mr  24   2.45   1   0   1   4   0   0   0    3.2   4   1   1   0   3   0   0 
Randy O'Neal            RYK    sp  27   2.79   5   3   1  40   0   0   0   51.2  39  18  16   7  19   6   3 
Bobby Ojeda*            TEW    sp  30   1.92  16   5   0  23  23   6   4  168.2 124  40  36  34 115   8  17 
Gregg Olson             CEN    mr  21   5.73   0   1   0   2   2   0   0   11.0  11   7   7   9  10   0   0 
Steve Ontiveros         BMB    sp  27   4.92   1   5   0  19   8   0   0   60.1  71  36  33  15  36   5   3 
Jesse Orosco*           ES?    mr  31   3.88   0   6  20  49   0   0   0   53.1  48  26  23  31  36   5   3 
Vincente Palacios       BMB    sp  24   6.20   0   5   2  23   0   0   0   24.2  30  18  17  21  13   1   2 
Donn Pall               MAR    mr  26   5.84   1   0   0   8   0   0   0   12.1  16   9   8   3   3   1   4 
David Palmer            EVN    sp  30   7.36   0   0   0   1   1   0   0    3.2   7   3   3   3   2   0   0 
Jeff Parrett            NFG    mr  26   3.17   3   2   4  43   0   0   0   65.1  57  31  23  27  42  11   5 
Ken Patterson*          CCC    mr  23   4.67   1   1   0  18   0   0   0   17.1  22  12   9  10   5   1   1 
Alejandro Pena          CIN    mr  29   1.57   6   4   9  71   0   0   0   97.2  85  28  17  19  90   7   7 
Hipolito Pena*          CTW    mr  24   6.14   1   2   1   7   0   0   0    7.1  12   5   5   3   4   1   0 
Melido Perez            FER    sp  22   4.22   6  10   0  30  25   0   0  143.0 141  78  67  54 111  17   9 
Pascual Perez           SUN    sp  31   4.65   9   7   0  19  19   3   0  131.2 131  74  68  48 100  11   7 
Pat Perry*              NFG    mr  29   5.02   1   4   0   8   6   0   0   43.0  40  26  24  17  24   3   0 
Jeff Pico               TEW    mr  22   3.03   6   3   4  59   0   0   0   92.0  97  33  31  34  59   5   4 
Dan Plesac*             FER    cl  26   4.04   0   2   2  30   0   0   0   35.2  37  20  16  11  23   1   1 
