                          DMB pitching register -- All players in database                          
                                           Regular season                                           

Name                    Team    P Age    ERA   W   L   S   G  GS  CG SHO    INN   H   R  ER  BB   K  HR GDP 
Sherman Corbett*        BMB    mr  25   0   0  .000   0   0  .000     0   0.0   19    7  .368   22.6  .597 
Jim Corsi               ES?    mr  26   0   0  .000   0   0  .000     0   0.0    3    2  .667   18.7  .673 
John Costello           EVN    mr  27   5   0  .000   0   3  .600    22   4.4   12    3  .250   37.7  .583 
Danny Cox               NEE    sp  28   1   0  .000   0   0  .000     7   7.0   15    6  .400   21.5  .641 
Tim Crews               GBP    mr  27   0   0  .000   0   0  .000     0   0.0    9    5  .556   22.0  .682 
Chuck Crim              MAR    mr  26   2   0  .000   0   2 1.000     6   3.0   16    3  .188   22.9  .632 
Ron Darling             FHK    sp  27  31   4  .129   2  20  .645   128   4.1   14    3  .214   99.9  .638 
Danny Darwin            NEE    mr  32  25   1  .040   0  10  .400    94   3.8   23    7  .304   91.2  .654 
Mark Davis*             CEN    cl  27   5   0  .000   0   3  .600    37   7.4    7    0  .000   32.0  .623 
Ron Davis               CIN    mr  32   0   0  .000   0   0  .000     0   0.0    0    0  .000   13.0  .769 
Storm Davis             RYK    sp  26  32   0  .000   0  12  .375   116   3.6   32   10  .313   81.8  .616 
Ken Dayley*             EVN    mr  29   0   0  .000   0   0  .000     0   0.0    2    0  .000   19.3  .654 
                          DMB pitching register -- All players in database                          
                                           Regular season                                           

Name                    Team    P Age  GS  CG   CG% SHO  QS   QS%    RS  RS/G   RL  RLS   RL%  PCH/G  STR% 
Jose DeJesus            CEN    sp  23   1   0  .000   0   0  .000     7   7.0    2    0  .000  106.0  .509 
Jose DeLeon             ES?    sp  27  35   0  .000   0  19  .543   119   3.4   17    9  .529   95.2  .608 
Jim Deshaies*           FHK    sp  28  32   3  .094   2  19  .594   144   4.5   16    8  .500   96.1  .651 
Rob Dibble              ES?    mr  24   0   0  .000   0   0  .000     0   0.0   12    4  .333   20.2  .641 
Frank DiPino*           NFG    mr  31   0   0  .000   0   0  .000     0   0.0   11    2  .182   23.8  .632 
John Dopson             FER    sp  24  19   1  .053   1  12  .632    79   4.2   12    7  .583   78.3  .604 
Rich Dotson             GBP    sp  29   6   1  .167   0   3  .500    19   3.2    6    4  .667  100.8  .613 
Kelly Downs             FHK    sp  27  26   2  .077   0  19  .731    91   3.5   10    0  .000   79.8  .645 
Doug Drabek             TEW    sp  25  33   6  .182   2  21  .636   167   5.1   22    6  .273   95.6  .647 
Dave Dravecky*          FHK    sp  32   0   0  .000   0   0  .000     0   0.0    6    1  .167   18.5  .700 
Mike Dunne              BMB    sp  25   0   0  .000   0   0  .000     0   0.0   23    8  .348   24.8  .562 
Gary Eave               BBG    mr  24   0   0  .000   0   0  .000     0   0.0    4    3  .750   30.7  .543 
Dennis Eckersley        NFG    cl  33   0   0  .000   0   0  .000     0   0.0    7    2  .286   18.4  .709 
Juan Eichelberger       RYK    mr  34   0   0  .000   0   0  .000     0   0.0    5    4  .800   29.2  .623 
Mark Eichhorn           CCC    mr  27   0   0  .000   0   0  .000     0   0.0   10    4  .400   21.9  .637 
Steve Farr              GBP    cl  31   8   0  .000   0   6  .750    33   4.1    1    0  .000   61.2  .667 
John Farrell            NFG    sp  25  19   3  .158   2   9  .474    83   4.4   16    4  .250   60.1  .629 
Sid Fernandez*          CIN    sp  25  29   2  .069   1  18  .621   148   5.1   15    3  .200   98.4  .614 
Chuck Finley*           NEE    sp  25  32   1  .031   0  19  .594   106   3.3   18    6  .333   98.7  .626 
Mike Flanagan*          CCC    sp  36  30   2  .067   0  10  .333   104   3.5   23   10  .435   84.1  .639 
Tony Fossas*            BAR    mr  30   2   0  .000   0   0  .000    11   5.5    2    1  .500   76.5  .686 
John Franco*            SUN    cl  27   0   0  .000   0   0  .000     0   0.0    1    0  .000   19.5  .657 
Willie Fraser           BMB    sp  24  29   0  .000   0  19  .655   107   3.7   20    8  .400   93.3  .626 
Marvin Freeman          BMB    sp  25  11   0  .000   0   4  .364    39   3.5    9    1  .111   92.1  .556 
Todd Frohwirth          BAR    mr  25   4   0  .000   0   1  .250    24   6.0    5    0  .000   55.5  .532 
Gene Garber             TEW    cl  40   0   0  .000   0   0  .000     0   0.0    3    1  .333   21.2  .649 
Wes Gardner             CEN    sp  27  14   0  .000   0   7  .500    65   4.6    8    0  .000   82.3  .610 
Scott Garrelts          BBG    mr  26   4   0  .000   0   2  .500    18   4.5   16    4  .250   26.0  .622 
Paul Gibson*            BAR    mr  28   0   0  .000   0   0  .000     0   0.0   12    5  .417   24.5  .637 
Tom Glavine*            CCC    sp  22  26   2  .077   1  18  .692    83   3.2   16    6  .375   78.0  .636 
Jerry Gleaton*          FER    mr  30   0   0  .000   0   0  .000     0   0.0   16    5  .313   20.0  .613 
German Gonzalez         TEW    mr  26   0   0  .000   0   0  .000     0   0.0    0    0  .000   12.0  .667 
Dwight Gooden           FHK    sp  23  33   5  .152   1  26  .788   121   3.7   16    3  .188  100.8  .660 
Don Gordon              NEE    mr  28   0   0  .000   0   0  .000     0   0.0    1    0  .000   21.7  .621 
Tom Gordon              FER    mr  20   2   0  .000   0   0  .000    15   7.5    1    0  .000   92.0  .636 
Goose Gossage           BMB    cl  36   0   0  .000   0   0  .000     0   0.0   21    7  .333   20.7  .646 
Jim Gott                BMB    cl  28   0   0  .000   0   0  .000     0   0.0   12    3  .250   20.3  .628 
Jeff Gray               BMB    mr  25   0   0  .000   0   0  .000     0   0.0    0    0  .000   34.8  .684 
Kevin Gross             TEW    sp  27  16   0  .000   0   7  .438    65   4.1   13    2  .154  104.6  .607 
Cecilio Guante          CIN    mr  28   1   0  .000   0   1 1.000     4   4.0   13    5  .385   20.2  .674 
Mark Gubicza            BBG    sp  25  34   7  .206   3  27  .794   147   4.3   21    9  .429  103.5  .636 
Lee Guetterman*         BMB    mr  29   5   0  .000   0   1  .200    13   2.6    7    5  .714   62.5  .631 
Ron Guidry*             CIN    sp  37   1   0  .000   0   1 1.000     3   3.0    3    0  .000   27.2  .684 
Jose Guzman             FER    sp  25  18   2  .111   0   7  .389    72   4.0   15    7  .467   54.6  .606 
John Habyan             CCC    mr  24   0   0  .000   0   0  .000     0   0.0    4    2  .500   24.0  .625 
Drew Hall*              FER    mr  25   0   0  .000   0   0  .000     0   0.0    7    1  .143   18.1  .637 
Atlee Hammaker*         BAR    mr  30  19   0  .000   0   8  .421    87   4.6   13    5  .385   84.6  .642 
Erik Hanson             NEE    sp  23   6   1  .167   0   5  .833    16   2.7    4    0  .000  113.0  .627 
Mike Harkey             GBP    sp  21   5   0  .000   0   1  .200    20   4.0    6    3  .500   99.4  .596 
Pete Harnisch           CCC    sp  21   0   0  .000   0   0  .000     0   0.0    3    1  .333   16.2  .580 
Greg Harris             MAR    mr  32   2   0  .000   0   0  .000     2   1.0   26    8  .308   21.6  .592 
Greg W. Harris          FHK    mr  24   0   0  .000   0   0  .000     0   0.0    0    0  .000   19.5  .663 
Bryan Harvey            TEW    cl  25   0   0  .000   0   0  .000     0   0.0    0    0  .000   16.9  .664 
Andy Hawkins            SUN    sp  28  10   1  .100   0   8  .800    40   4.0    6    1  .167  106.2  .612 
Neal Heaton*            FER    mr  28  15   1  .067   1   7  .467    45   3.0   14    6  .429   65.4  .615 
Don Heinkel             BAR    mr  28   0   0  .000   0   0  .000     0   0.0    5    5 1.000   19.3  .664 
Tom Henke               SUN    cl  30   0   0  .000   0   0  .000     0   0.0    7    1  .143   22.6  .639 
Mike Henneman           CTW    cl  26   0   0  .000   0   0  .000     0   0.0   12    3  .250   19.2  .665 
Dwayne Henry            CCC    mr  26   0   0  .000   0   0  .000     0   0.0    7    5  .714   17.7  .552 
Willie Hernandez*       FHK    mr  33   0   0  .000   0   0  .000     0   0.0    5    1  .200   23.5  .608 
Orel Hershiser          BBG    sp  29  34  12  .353   2  26  .765   184   5.4   11    4  .364  115.7  .640 
Joe Hesketh*            CIN    mr  29   0   0  .000   0   0  .000     0   0.0    6    0  .000   18.9  .651 
Teddy Higuera*          CIN    sp  29  32   6  .188   4  23  .719   139   4.3   17    4  .235  101.7  .669 
Ken Hill                BMB    mr  22   4   0  .000   0   0  .000     5   1.3    6    4  .667   70.0  .546 
Shawn Hillegas          RYK    sp  23  17   0  .000   0  11  .647    68   4.0   19    4  .211   87.9  .617 
Brian Holman            FHK    sp  23   6   0  .000   0   4  .667    12   2.0   12    7  .583   34.2  .648 
Brian Holton            BBG    mr  28   0   0  .000   0   0  .000     0   0.0    5    1  .200   17.7  .649 
Rick Honeycutt*         EVN    mr  34   4   0  .000   0   2  .500    10   2.5   19    3  .158   24.2  .604 
Ricky Horton*           GBP    mr  28   0   0  .000   0   0  .000     0   0.0    8    2  .250   24.1  .648 
Charlie Hough           CTW    sp  40  21   3  .143   1  11  .524   102   4.9   10    6  .600   80.9  .595 
Jay Howell              MAR    cl  32   0   0  .000   0   0  .000     0   0.0    0    0  .000   19.1  .625 
Jay Howell              FER    cl  32   0   0  .000   0   0  .000     0   0.0    4    1  .250   22.1  .607 
                          DMB pitching register -- All players in database                          
                                           Regular season                                           

Name                    Team    P Age  GS  CG   CG% SHO  QS   QS%    RS  RS/G   RL  RLS   RL%  PCH/G  STR% 
Jay Howell                     cl  32   0   0  .000   0   0  .000     0   0.0    4    1  .250   20.2  .618 
Ken Howell              ES?    mr  27   0   0  .000   0   0  .000     0   0.0    1    0  .000   19.4  .657 
Mark Huismann           BAR    mr  30   1   0  .000   0   1 1.000     4   4.0    0    0  .000   60.5  .545 
Bruce Hurst*            MAR    sp  30  35   5  .143   2  20  .571   152   4.3   11    1  .091  101.0  .655 
Jeff Innis              SUN    mr  25   0   0  .000   0   0  .000     0   0.0    5    1  .200   23.6  .681 
Danny Jackson*          CEN    sp  26  35   8  .229   4  24  .686   184   5.3   15    5  .333  109.1  .628 
Mike Jackson            CIN    mr  23   0   0  .000   0   0  .000     0   0.0   17    4  .235   21.6  .624 
Mike Jeffcoat*          NEE    mr  28   2   0  .000   0   1  .500     7   3.5    1    0  .000   90.5  .718 
German Jimenez*         NEE    sp  25   2   0  .000   0   1  .500     4   2.0    2    1  .500   87.0  .667 
Tommy John*             FER    sp  45   0   0  .000   0   0  .000     0   0.0    8    4  .500   22.3  .649 
Randy Johnson*          BMB    sp  24   4   0  .000   0   4 1.000     7   1.8    1    1 1.000  107.5  .663 
Barry Jones             GBP    mr  25   0   0  .000   0   0  .000     0   0.0   23    2  .087   19.7  .638 
Doug Jones              FHK    cl  31   0   0  .000   0   0  .000     0   0.0    3    0  .000   18.7  .660 
Jimmy Jones             RYK    sp  24  31   2  .065   0  15  .484   114   3.7   31   12  .387   83.6  .637 
Odell Jones             BBG    mr  35   1   0  .000   0   0  .000     1   1.0    0    0  .000   28.6  .610 
Jimmy Key*              NEE    sp  27  20   1  .050   0  13  .650    68   3.4   12    6  .500   98.1  .665 
Paul Kilgus*            FER    sp  26  13   1  .077   0   8  .615    69   5.3    9    4  .444   88.4  .647 
Eric King               BAR    mr  24   7   0  .000   0   4  .571    32   4.6   17    4  .235   40.5  .592 
Bob Kipper*             ES?    mr  23   0   0  .000   0   0  .000     0   0.0   18   10  .556   18.9  .629 
Bob Knepper*            MAR    sp  34  14   0  .000   0   8  .571    42   3.0    7    3  .429   78.8  .623 
Mark Knudson            FER    mr  27   0   0  .000   0   0  .000     0   0.0    5    0  .000   21.7  .684 
Bill Krueger*           CCC    sp  30   0   0  .000   0   0  .000     0   0.0    2    1  .500    9.4  .553 
Mike Krukow             EVN    sp  36  10   3  .300   0   6  .600    48   4.8    2    0  .000   92.5  .658 
Mike LaCoss             GBP    sp  32  14   0  .000   0   9  .643    57   4.1   12    3  .250   94.4  .599 
Dennis Lamp             ES?    mr  35   0   0  .000   0   0  .000     0   0.0    8    4  .500   23.6  .676 
Lester Lancaster        ES?    mr  26   0   0  .000   0   0  .000     0   0.0   14   10  .714   26.6  .624 
Bill Landrum            ES?    mr  30   0   0  .000   0   0  .000     0   0.0    4    1  .250   20.5  .663 
Mark Langston*          ES?    sp  27  35   5  .143   1  22  .629   153   4.4   16    9  .563  110.6  .622 
Dave LaPoint*           CTW    sp  28  32   1  .031   0  19  .594   124   3.9   31    4  .129   93.2  .652 
Bill Laskey             NEE    mr  30   0   0  .000   0   0  .000     0   0.0    7    6  .857   21.1  .629 
Charlie Lea             CCC    sp  31   6   0  .000   0   2  .333    22   3.7   10    3  .300   46.9  .630 
Terry Leach             SUN    mr  34   0   0  .000   0   0  .000     0   0.0   21    9  .429   25.0  .637 
Tim Leary               CCC    sp  29   1   0  .000   0   0  .000     2   2.0    0    0  .000   60.5  .612 
Tim Leary               CIN    sp  29   9   0  .000   0   4  .444    30   3.3    2    1  .500   85.3  .651 
Tim Leary                      sp  29  10   0  .000   0   4  .400    32   3.2    2    1  .500   81.2  .646 
Mark Lee*               GBP    mr  23   0   0  .000   0   0  .000     0   0.0    0    0  .000   13.2  .682 
Craig Lefferts*         BBG    mr  30   2   0  .000   0   1  .500    11   5.5   14    2  .143   21.1  .658 
Charlie Leibrandt*      GBP    sp  31  33   1  .030   0  20  .606   132   4.0   18    8  .444   93.7  .657 
Dave Leiper*            BAR    mr  26   0   0  .000   0   0  .000     0   0.0    6    3  .500   18.0  .642 
Al Leiter*              SUN    sp  22   8   0  .000   0   4  .500    28   3.5    5    1  .200   72.5  .603 
Bill Long               FER    mr  28  17   0  .000   0   9  .529    45   2.6   12    4  .333   68.6  .628 
Greg Maddux             BMB    sp  22  33   8  .242   2  18  .545    82   2.5   18    8  .444  101.2  .633 
Mike Maddux             CCC    mr  26   0   0  .000   0   0  .000     0   0.0   28    5  .179   25.4  .630 
Alex Madrid             SUN    mr  25   0   0  .000   0   0  .000     0   0.0    0    0  .000   19.1  .621 
Joe Magrane*            CTW    sp  23  13   5  .385   1  10  .769    60   4.6    7    3  .429   52.7  .618 
Joe Magrane*            EVN    sp  23   4   1  .250   0   3  .750     9   2.3    4    1  .250   41.7  .607 
Joe Magrane*                   sp  23  17   6  .353   1  13  .765    69   4.1   11    4  .364   48.7  .615 
Rick Mahler             RYK    sp  34  33   3  .091   1  18  .545   113   3.4   20    3  .150   88.6  .680 
Dennis Martinez         NEE    sp  33  32   2  .063   1  15  .469   131   4.1   28   13  .464   91.8  .636 
Ramon Martinez          SUN    sp  20   7   0  .000   0   4  .571    33   4.7    6    2  .333   92.7  .570 
Greg Mathews*           RYK    sp  26   0   0  .000   0   0  .000     0   0.0    4    0  .000   24.3  .602 
Tom McCarthy            CEN    mr  27   0   0  .000   0   0  .000     0   0.0   10    0  .000   19.1  .643 
Kirk McCaskill          MAR    sp  27   4   0  .000   0   2  .500    12   3.0   14    5  .357   30.0  .613 
Kirk McCaskill          ES?    sp  27  12   1  .083   0   9  .750    43   3.6    8    5  .625  101.7  .623 
Kirk McCaskill                 sp  27  16   1  .063   0  11  .688    55   3.4   22   10  .455   52.6  .619 
Bob McClure*            ES?    mr  36   0   0  .000   0   0  .000     0   0.0   10    3  .300   17.4  .629 
Lance McCullers         MAR    mr  24  12   0  .000   0   6  .500    50   4.2   11    5  .455   42.1  .556 
Jack McDowell           ES?    sp  22  21   0  .000   0  11  .524    72   3.4   11    3  .273   97.4  .606 
Roger McDowell          RYK    cl  27   0   0  .000   0   0  .000     0   0.0   21    6  .286   17.6  .615 
Andy McGaffigan         GBP    mr  31   9   0  .000   0   5  .556    24   2.7   13    5  .385   46.4  .591 
Craig McMurtry          CEN    mr  28   0   0  .000   0   0  .000     0   0.0    7    2  .286   18.2  .620 
Larry McWilliams*       FER    mr  34   1   1 1.000   0   1 1.000     2   2.0    9    3  .333   24.1  .640 
Dave Meads*             SUN    mr  24   0   0  .000   0   0  .000     0   0.0   11    1  .091   18.3  .624 
Scott Medvin            BAR    mr  26   0   0  .000   0   0  .000     0   0.0    1    0  .000   18.7  .671 
Brian Meyer             GBP    mr  25   0   0  .000   0   0  .000     0   0.0    0    0  .000   16.9  .566 
Bob Milacki             SUN    sp  23   4   1  .250   0   3  .750    21   5.3    0    0  .000  119.8  .576 
Greg Minton             CEN    mr  36   5   0  .000   0   2  .400    35   7.0   11    3  .273   34.2  .630 
Paul Mirabella*         CEN    mr  34   0   0  .000   0   0  .000     0   0.0   12    4  .333   19.1  .633 
Dale Mohorcic           NEE    mr  32   7   0  .000   0   2  .286    35   5.0    6    3  .500   73.6  .625 
Rich Monteleone         FHK    mr  25   0   0  .000   0   0  .000     0   0.0    3    1  .333   17.8  .690 
Jeff Montgomery         BAR    mr  26   0   0  .000   0   0  .000     0   0.0   12    4  .333   20.3  .619 
Brad Moore              CTW    mr  24   0   0  .000   0   0  .000     0   0.0    2    0  .000   23.3  .529 
                          DMB pitching register -- All players in database                          
                                           Regular season                                           

Name                    Team    P Age  GS  CG   CG% SHO  QS   QS%    RS  RS/G   RL  RLS   RL%  PCH/G  STR% 
Mike Moore              CEN    sp  28  32   9  .281   6  25  .781   172   5.4    7    1  .143  111.1  .656 
Mike Morgan             ES?    mr  28   8   0  .000   0   4  .500    35   4.4    6    0  .000   58.3  .612 
Jack Morris             TEW    sp  33  33   3  .091   0  22  .667   135   4.1   21    8  .381  100.5  .644 
Jamie Moyer*            BAR    sp  25  36   1  .028   0  26  .722   154   4.3   15    3  .200   86.5  .652 
Terry Mulholland*       CCC    sp  25   0   0  .000   0   0  .000     0   0.0   17    4  .235   15.2  .669 
Rob Murphy*             BBG    mr  28   0   0  .000   0   0  .000     0   0.0   13    3  .231   14.7  .586 
Jeff Musselman*         BAR    sp  25   8   0  .000   0   6  .750    22   2.8    5    3  .600   64.9  .646 
Randy Myers*            CIN    cl  25   0   0  .000   0   0  .000     0   0.0    4    1  .250   19.2  .642 
Gene Nelson             CEN    mr  27  11   1  .091   0   7  .636    49   4.5    4    0  .000   54.2  .629 
Rod Nichols             NEE    sp  23   0   0  .000   0   0  .000     0   0.0   23    5  .217   20.5  .622 
Juan Nieves*            CEN    sp  23   6   1  .167   1   4  .667    29   4.8    1    1 1.000   70.9  .639 
Al Nipper               SUN    sp  29   4   1  .250   0   2  .500    25   6.3    6    3  .500   45.0  .614 
Ed Nunez                GBP    mr  25   6   0  .000   0   2  .333    17   2.8    2    1  .500   81.1  .612 
Jose Nunez              ES?    mr  24   0   0  .000   0   0  .000     0   0.0    3    1  .333   14.0  .714 
Randy O'Neal            RYK    sp  27   0   0  .000   0   0  .000     0   0.0    7    0  .000   18.0  .664 
Bobby Ojeda*            TEW    sp  30  23   6  .261   4  20  .870   102   4.4    2    1  .500   99.8  .672 
Gregg Olson             CEN    mr  21   2   0  .000   0   0  .000     7   3.5    0    0  .000  102.0  .520 
Steve Ontiveros         BMB    sp  27   8   0  .000   0   4  .500    24   3.0    8    5  .625   45.8  .637 
Jesse Orosco*           ES?    mr  31   0   0  .000   0   0  .000     0   0.0   12    4  .333   18.5  .584 
Vincente Palacios       BMB    sp  24   0   0  .000   0   0  .000     0   0.0    7    2  .286   20.5  .559 
Donn Pall               MAR    mr  26   0   0  .000   0   0  .000     0   0.0    4    2  .500   23.9  .717 
David Palmer            EVN    sp  30   1   0  .000   0   0  .000    10  10.0    2    0  .000   82.0  .549 
Jeff Parrett            NFG    mr  26   0   0  .000   0   0  .000     0   0.0    8    4  .500   24.0  .591 
Ken Patterson*          CCC    mr  23   0   0  .000   0   0  .000     0   0.0    5    1  .200   17.2  .632 
Alejandro Pena          CIN    mr  29   0   0  .000   0   0  .000     0   0.0   14    4  .286   20.9  .643 
Hipolito Pena*          CTW    mr  24   0   0  .000   0   0  .000     0   0.0    1    0  .000   19.4  .625 
Melido Perez            FER    sp  22  25   0  .000   0  11  .440    81   3.2   12    1  .083   79.3  .622 
Pascual Perez           SUN    sp  31  19   3  .158   0   7  .368   101   5.3    8    3  .375  107.1  .630 
Pat Perry*              NFG    mr  29   6   0  .000   0   2  .333    19   3.2    7    6  .857   83.1  .618 
Jeff Pico               TEW    mr  22   0   0  .000   0   0  .000     0   0.0   22    3  .136   23.6  .621 
Dan Plesac*             FER    cl  26   0   0  .000   0   0  .000     0   0.0    8    3  .375   19.3  .633 
Eric Plunk              FER    mr  24   0   0  .000   0   0  .000     0   0.0    2    0  .000   23.7  .623 
Mark Portugal           NFG    mr  25   8   0  .000   0   1  .125    17   2.1    7    1  .143   73.6  .593 
Ted Power               BMB    sp  33  17   0  .000   0   7  .412    56   3.3   15    7  .467   75.9  .630 
Joe Price*              RYK    mr  31   0   0  .000   0   0  .000     0   0.0   19    7  .368   20.7  .630 
Charlie Puleo           FER    mr  33   6   0  .000   0   3  .500    16   2.7    7    4  .571   37.7  .570 
Dan Quisenberry         NFG    mr  35   0   0  .000   0   0  .000     0   0.0   18    5  .278   19.8  .676 
Dennis Rasmussen*       MAR    sp  29  32   5  .156   4  20  .625   162   5.1   17    6  .353   93.9  .640 
Shane Rawley*           GBP    sp  32   0   0  .000   0   0  .000     0   0.0    0    0  .000   13.3  .547 
Jeff Reardon            CTW    cl  32   1   0  .000   0   1 1.000     1   1.0    2    1  .500   19.5  .676 
Jerry Reed              CTW    mr  32   0   0  .000   0   0  .000     0   0.0    2    0  .000   22.5  .610 
Jerry Reed              EVN    mr  32  11   0  .000   0   7  .636    46   4.2   12    7  .583   93.2  .601 
Jerry Reed                     mr  32  11   0  .000   0   7  .636    46   4.2   14    7  .500   54.9  .603 
Rick Reed               TEW    sp  22   0   0  .000   0   0  .000     0   0.0    5    0  .000   31.8  .660 
Rick Reuschel           RYK    sp  39  34   4  .118   1  25  .735    97   2.9   14    3  .214   86.1  .673 
Jerry Reuss*            FHK    sp  39  23   4  .174   2  17  .739    74   3.2   10    5  .500   90.9  .674 
Dave Righetti*          BAR    cl  29   0   0  .000   0   0  .000     0   0.0   15    7  .467   28.7  .606 
Jose Rijo               GBP    mr  23  24   1  .042   0  18  .750   121   5.0   11    5  .455  100.0  .620 
Wally Ritchie*          CTW    mr  22   4   0  .000   0   2  .500    28   7.0    1    0  .000   65.7  .538 
Don Robinson            TEW    mr  31  29   1  .034   0  21  .724   131   4.5   16    1  .063   93.1  .634 
Jeff Robinson           EVN    mr  27   0   0  .000   0   0  .000     0   0.0   20   10  .500   21.8  .628 
Jeff M. Robinson        CEN    sp  26  27   2  .074   0  20  .741   137   5.1    8    0  .000  104.3  .629 
Ron Robinson            SUN    sp  26  11   1  .091   0   5  .455    56   5.1   11    4  .364   71.8  .644 
Bruce Ruffin*           BMB    mr  24  24   2  .083   1  11  .458    81   3.4   17    9  .529   92.0  .611 
Jeff Russell            ES?    sp  26  18   0  .000   0   5  .278    65   3.6   14    7  .500   68.1  .621 
Nolan Ryan              ES?    sp  41  33   4  .121   2  17  .515   106   3.2   18    7  .389   96.6  .630 
Bret Saberhagen         BBG    sp  24  31   7  .226   0  15  .484   149   4.8    9    5  .556   91.5  .668 
Roger Samuels*          CIN    mr  27   0   0  .000   0   0  .000     0   0.0    1    0  .000   18.0  .625 
Israel Sanchez*         MAR    mr  24   0   0  .000   0   0  .000     0   0.0    5    2  .400   19.4  .612 
Scott Sanderson         CCC    mr  31   0   0  .000   0   0  .000     0   0.0    0    0  .000   17.3  .686 
Rich Sauveur*           NFG    mr  24   1   0  .000   0   1 1.000     8   8.0    1    1 1.000  100.0  .650 
Dan Schatzeder*         BMB    mr  33   0   0  .000   0   0  .000     0   0.0    7    3  .429   17.8  .685 
Curt Schilling          BAR    sp  21   1   0  .000   0   0  .000     3   3.0    3    0  .000   24.4  .573 
Calvin Schiraldi        TEW    sp  26   0   0  .000   0   0  .000     0   0.0   17    4  .235   26.3  .613 
Dave Schmidt            FHK    mr  31   0   0  .000   0   0  .000     0   0.0    3    2  .667    7.0  .857 
Mike Schooler           NEE    cl  25   0   0  .000   0   0  .000     0   0.0    6    1  .167   16.7  .600 
Mike Scott              BBG    sp  33  34   4  .118   3  22  .647   145   4.3   14    0  .000   97.9  .649 
Scott Service           NEE    mr  21   2   0  .000   0   0  .000     9   4.5    3    0  .000   80.5  .578 
Jeff Shaver             CTW    mr  24   1   0  .000   0   1 1.000     6   6.0    0    0  .000   98.0  .653 
Steve Shields           BMB    mr  29   0   0  .000   0   0  .000     0   0.0   15   12  .800   24.9  .632 
Eric Show               SUN    sp  32  28   4  .143   0  15  .536   143   5.1   14    6  .429  101.6  .660 
John Smiley*            EVN    sp  23  29   1  .034   1  16  .552   126   4.3   19    5  .263   91.0  .644 
                          DMB pitching register -- All players in database                          
                                           Regular season                                           

Name                    Team    P Age  GS  CG   CG% SHO  QS   QS%    RS  RS/G   RL  RLS   RL%  PCH/G  STR% 
Bryn Smith              EVN    sp  32  24   2  .083   0  17  .708    87   3.6   10    5  .500   94.8  .658 
Dave Smith              BMB    cl  33   0   0  .000   0   0  .000     0   0.0   16    5  .313   18.7  .608 
Lee Smith               BAR    cl  30   0   0  .000   0   0  .000     0   0.0    6    1  .167   22.4  .636 
Mike Smith              BAR    mr  27   0   0  .000   0   0  .000     0   0.0    6    2  .333   27.2  .595 
Pete Smith              MAR    sp  22  22   0  .000   0  18  .818    94   4.3   10    3  .300   96.9  .606 
Roy Smith               CEN    sp  26   0   0  .000   0   0  .000     0   0.0    7    2  .286   21.0  .609 
Zane Smith*             FER    sp  27  15   0  .000   0   8  .533    57   3.8   16    6  .375   54.7  .631 
Zane Smith*             NFG    sp  27   0   0  .000   0   0  .000     0   0.0    0    0  .000    1.0 1.000 
Zane Smith*                    sp  27  15   0  .000   0   8  .533    57   3.8   16    6  .375   53.1  .631 
Mike Smithson           GBP    sp  33   5   0  .000   0   2  .400    13   2.6    2    1  .500   74.4  .669 
John Smoltz             BMB    sp  21  13   0  .000   0   5  .385    67   5.2   11    4  .364   92.1  .581 
Julio Solano            CTW    mr  28   0   0  .000   0   0  .000     0   0.0    0    0  .000   16.7  .720 
Mario Soto              CIN    sp  31   7   1  .143   1   5  .714    38   5.4    4    1  .250   87.9  .631 
Bob Stanley             CTW    mr  33   0   0  .000   0   0  .000     0   0.0    1    0  .000   23.5  .655 
Bob Stanley             EVN    mr  33   0   0  .000   0   0  .000     0   0.0    6    2  .333   19.0  .631 
Bob Stanley                    mr  33   0   0  .000   0   0  .000     0   0.0    7    2  .286   20.3  .639 
Dave Stewart            MAR    sp  31  34   6  .176   1  20  .588   179   5.3   25    8  .320  101.7  .612 
Dave Stieb              EVN    sp  30  30   5  .167   3  20  .667   107   3.6   14    2  .143  100.4  .617 
Todd Stottlemyre        CCC    sp  23  17   0  .000   0   9  .529    56   3.3   16    3  .188   71.1  .594 
Rick Sutcliffe          NFG    sp  32  26   3  .115   1  14  .538    82   3.2   16    3  .188   96.8  .644 
Bruce Sutter            TEW    cl  35   0   0  .000   0   0  .000     0   0.0    0    0  .000   13.3  .600 
Billy Swift             NFG    sp  26  10   0  .000   0   5  .500    50   5.0   17    5  .294   36.5  .608 
Greg Swindell*          CCC    sp  23   7   2  .286   1   3  .429    29   4.1    4    2  .500   91.4  .667 
Greg Swindell*          CEN    sp  23  24  10  .417   4  17  .708   115   4.8    9    0  .000  108.0  .692 
Greg Swindell*                 sp  23  31  12  .387   5  20  .645   144   4.6   13    2  .154  104.3  .687 
Frank Tanana*           CCC    sp  34  27   4  .148   1  15  .556   115   4.3   24   10  .417   80.8  .638 
Kent Tekulve            NEE    mr  41   0   0  .000   0   0  .000     0   0.0   23    9  .391   14.9  .677 
Walt Terrell            FER    sp  30   0   0  .000   0   0  .000     0   0.0    1    0  .000   17.1  .525 
Scott Terry             SUN    mr  28   0   0  .000   0   0  .000     0   0.0   16    3  .188   19.5  .627 
Bob Tewksbury           FHK    sp  27   1   0  .000   0   0  .000     0   0.0    0    0  .000   76.0  .592 
