                    DMB pitching register (vs batter) -- All players in database                    
                                           Regular season                                           

Name                     Team    P Age   AVG   OBP   SPC   AB   H  2B  3B  HR  TB HBP  BB  IW   K  SB  CS 
Dan Schatzeder*          BMB    mr  33  .447  .460  .787  47  21   2   1   4  15   0   2   0   7   0   1 
Curt Schilling           BAR    sp  21  .207  .303  .379  29   6   1   2   0   2   0   4   2   1   0   0 
Calvin Schiraldi         TEW    sp  26  .289  .428  .405 121  35   5   0   3  20   0  30   8  23   3   1 
Dave Schmidt             FHK    mr  31  .500  .500  .500   8   4   0   0   0   2   0   0   0   0   0   0 
Mike Schooler            NEE    cl  25  .167  .293  .344  96  16   5   0   4  15   1  17   2  30   3   2 
Mike Scott               BBG    sp  33  .207  .288  .338 411  85  22   1  10  39   2  45   0  89   5   1 
Scott Service            NEE    mr  21  .409  .536  .500  22   9   2   0   0   7   0   6   0   5   0   0 
                    DMB pitching register (vs batter) -- All players in database                    
                                           Regular season                                           

                                       --------------------Versus Left-handed Batters------------------- 
Name                     Team    P Age   AVG   OBP   SPC  AB   H  2B  3B  HR RBI HBP  BB IBB   K  SH  SF 
Jeff Shaver              CTW    mr  24  .357  .471  .643  14   5   1   0   1   1   3   0   0   0   0   0 
Steve Shields            BMB    mr  29  .305  .377  .418 141  43   6   2   2  21   0  18   4  32   1   3 
Eric Show                SUN    sp  32  .271  .342  .391 376 102  20   5   5  39   0  42   1  47   0   3 
John Smiley*             EVN    sp  23  .257  .352  .358 109  28   2   0   3  11   2  14   0  17   1   0 
Bryn Smith               EVN    sp  32  .282  .328  .439 301  85  12   4   9  27   2  21   0  31   2   5 
Dave Smith               BMB    cl  33  .356  .442  .404 104  37   3   1   0  10   0  16   2  13   2   0 
Lee Smith                BAR    cl  30  .212  .283  .295 156  33   2   1   3  17   0  16   1  44   1   1 
Mike Smith               BAR    mr  27  .154  .214  .154  13   2   0   0   0   1   0   1   0   1   0   0 
Pete Smith               MAR    sp  22  .258  .347  .369 252  65  15   2   3  15   1  34   0  31   1   1 
Roy Smith                CEN    sp  26  .212  .257  .242  66  14   2   0   0   5   0   4   1   5   0   0 
Zane Smith*              FER    sp  27  .323  .368  .354  99  32   3   0   0   9   0   7   0   5   0   0 
Zane Smith*              NFG    sp  27  .000  .000  .000   0   0   0   0   0   0   0   0   0   0   0   0 
Zane Smith*                     sp  27  .323  .368  .354  99  32   3   0   0   9   0   7   0   5   0   0 
Mike Smithson            GBP    sp  33  .302  .333  .488  43  13   2   0   2  12   0   2   0   4   0   0 
John Smoltz              BMB    sp  21  .362  .436  .482 141  51  15   1   0  17   0  21   0  11   1   3 
Julio Solano             CTW    mr  28  .000  .000  .000   7   0   0   0   0   0   0   0   0   2   0   0 
Mario Soto               CIN    sp  31  .188  .263  .306  85  16   2   1   2   6   0   9   0   3   0   1 
Bob Stanley              CTW    mr  33  .259  .328  .414  58  15   4   1   1   7   0   6   1   7   1   0 
Bob Stanley              EVN    mr  33  .276  .333  .422 116  32   5   3   2  15   1  10   2   9   1   2 
Bob Stanley                     mr  33  .270  .332  .420 174  47   9   4   3  22   1  16   3  16   2   2 
Dave Stewart             MAR    sp  31  .230  .303  .343 461 106  23   4   7  46   3  48   0  81   2   6 
Dave Stieb               EVN    sp  30  .198  .276  .260 369  73   7   2   4  23   0  41   0  46   4   3 
Todd Stottlemyre         CCC    sp  23  .394  .463  .548 221  87  16   0   6  31   1  30   3  29   0   3 
Rick Sutcliffe           NFG    sp  32  .257  .329  .395 339  87  24   1   7  47   0  40   1  37   1   7 
Bruce Sutter             TEW    cl  35  .000  .000  .000   4   0   0   0   0   0   0   0   0   0   0   0 
Billy Swift              NFG    sp  26  .266  .344  .319 248  66   7   0   2  35   0  31   3  11   4   3 
Greg Swindell*           CCC    sp  23  .222  .333  .222  18   4   0   0   0   1   1   2   0   3   2   0 
Greg Swindell*           CEN    sp  23  .256  .287  .341 164  42   8   0   2  10   0   7   0  23   1   0 
Greg Swindell*                  sp  23  .253  .292  .330 182  46   8   0   2  11   1   9   0  26   3   0 
Frank Tanana*            CCC    sp  34  .204  .228  .322 152  31   5   2   3  14   0   5   0  32   1   1 
Kent Tekulve             NEE    mr  41  .199  .248  .225 151  30   1   0   1  10   0  11   0  17   3   3 
Walt Terrell             FER    sp  30  .250  .429  .500  16   4   1   0   1   2   0   5   1   2   1   0 
Scott Terry              SUN    mr  28  .243  .286  .333 144  35   7   0   2  13   0   9   1  20   0   1 
