                            League transaction log -- Seven More Minutes                            
                                           Regular season                                           

Date       Team    Player              Type                           OthTm    EffDate    When     
9/24/1999  NEP     Chen                Demoted to reserve roster                          Before   
9/24/1999  NEP     Conine              Demoted to reserve roster                          Before   
9/24/1999  NEP     Liefer              Demoted to reserve roster                          Before   
9/24/1999  NEP     Trammell            Promoted to active roster                          Before   
9/23/1999  BAR     Bennett,G           Promoted to active roster                          Before   
9/23/1999  BAR     Gubanich            Demoted to reserve roster                          Before   
9/23/1999  BAR     Leiter,M            Demoted to reserve roster                          Before   
9/23/1999  FDH     Politte             Demoted to reserve roster                          Before   
9/23/1999  FDH     Saenz               Demoted to reserve roster                          Before   
9/23/1999  TEW     Greer               Demoted to reserve roster                          Before   
9/22/1999  BAR     Jones,J             Promoted to active roster                          Before   
9/22/1999  BAR     McLemore            Promoted to active roster                          Before   
                            League transaction log -- Seven More Minutes                            
                                           Regular season                                           

Date       Team    Player              Type                           OthTm    EffDate    When     
9/22/1999  BAR     Wakefield           Demoted to reserve roster                          Before   
9/22/1999  BBG     Walbeck             Promoted to active roster                          Before   
9/22/1999  CEN     Christiansen        Demoted to reserve roster                          Before   
9/21/1999  FDH     Counsell            Demoted to reserve roster                          Before   
9/21/1999  GAR     Halama              Demoted to reserve roster                          Before   
9/21/1999  GAR     Olivares            Promoted to active roster                          Before   
9/20/1999  BAR     Javier              Promoted to active roster                          Before   
9/20/1999  BAR     Millar              Demoted to reserve roster                          Before   
9/20/1999  BAR     Perez,Y             Demoted to reserve roster                          Before   
9/20/1999  BAR     Runyan              Promoted to active roster                          Before   
9/20/1999  BAR     Timlin              Demoted to reserve roster                          Before   
9/20/1999  BBG     Kent                Demoted to reserve roster                          Before   
9/20/1999  DLM     Martinez,E          Demoted to reserve roster                          Before   
9/20/1999  OKO     Sparks,S            Demoted to reserve roster                          Before   
9/20/1999  TAR     Lewis,D             Signed                                             Before   
9/20/1999  TEW     Schmidt             Promoted to active roster                          Before   
9/19/1999  CIN     Ward,B              Demoted to reserve roster                          Before   
9/19/1999  CIN     Wheeler             Promoted to active roster                          Before   
9/19/1999  FFR     Pierzynski          Demoted to reserve roster                          Before   
9/19/1999  TEW     Banks               Promoted to active roster                          Before   
9/19/1999  TEW     Garciaparra         Demoted to reserve roster                          Before   
9/19/1999  TEW     Mantei              Promoted to active roster                          Before   
9/19/1999  TEW     Morandini           Promoted to active roster                          Before   
9/19/1999  TEW     Sadler              Promoted to active roster                          Before   
9/18/1999  BBG     Gwynn               Demoted to reserve roster                          Before   
9/18/1999  FDH     Arrojo              Promoted to active roster                          Before   
9/18/1999  FDH     LoDuca              Promoted to active roster                          Before   
9/18/1999  FDH     Lowe,S              Promoted to active roster                          Before   
