                          DMB batting register -- All players in database                           
                                           Regular season                                           

Name                     Team     P Age   AVG   OBP   SPC  AB   H  2B  3B  HR   R RBI HBP  BB   K  SB  CS 
Geronimo Berroa          CIN     dh  31  .282  .344  .484 578 163  33   0  28  87  90   8  50 131   1   2 
Sean Berry               ZZY     3b  30  .274  .329  .506 259  71  18   0  14  42  38   7  14  42  11   0 
Dante Bichette           RMO     rf  32  .227  .299  .382 220  50  13   0   7  24  31   3  20  38   9   2 
Dante Bichette           WIN     rf  32  .320  .368  .551 225  72  15   2  11  38  37   6  11  34  12   4 
Mike Bielecki            CTW     mr  36  .000  .250  .000  12   0   0   0   0   1   0   0   4  10   0   0 
Mike Bielecki            SCQ     mr  36  .000  .333  .000   4   0   0   0   0   0   0   0   2   1   0   0 
Craig Biggio             FER     2b  30  .259  .353  .401 599 155  23   1  20  99  70  16  72  95  24   6 
Jeff Blauser             BBG     ss  30  .171  .322  .348 210  36   8   1   9  28  23   6  41  50   1   0 
Mike Blowers             OKO     3b  31  .254  .323  .456 114  29   4   2   5  15  18   0  12  35   0   0 
                          DMB batting register -- All players in database                           
                                           Regular season                                           

Name                     Team     P Age   AVG   OBP   SPC  AB   H  2B  3B  HR   R RBI HBP  BB   K  SB  CS 
Doug Bochtler            SCQ     mr  25  .000  .000  .000   7   0   0   0   0   0   0   0   0   1   0   0 
Brian Boehringer#        BBG     mr  27  .000  .000  .000   5   0   0   0   0   0   0   0   0   1   0   0 
Tim Bogar                RMO     3b  29  .276  .372  .439  98  27   4   0   4  19  10   6   9  22   0   1 
Wade Boggs*              CTW     3b  38  .367  .438  .457 278 102  15   5   0  51  25   3  34  12   0   1 
Wade Boggs*              WIN     3b  38  .255  .350  .304 102  26   1   2   0  15   4   1  14   8   0   0 
Brian Bohanon*           FDH     mr  27  .000  .000  .000   1   0   0   0   0   0   0   0   0   0   0   0 
Barry Bonds*             FER     lf  31  .310  .452  .644 554 172  39   4  46 146 135   2 145 100  26  11 
Ricky Bones              BBG     sp  27  .143  .143  .143  35   5   0   0   0   1   1   0   0  10   0   0 
Bobby Bonilla#           SCQ     rf  33  .269  .353  .465 568 153  16   4  29  96  99   4  69  79   3   0 
Bret Boone               FDH     2b  27  .244  .279  .397 554 135  21   2  20  70  76   1  28 109   3   2 
Josh Booty               FDH     3b  21  .333  .333  .333   3   1   0   0   0   0   0   0   0   0   0   0 
Pedro Borbon*            NEP     mr  28  .250  .200  .250   4   1   0   0   0   0   1   0   0   0   0   0 
Pat Borders              NEP     c   33  .241  .265  .369 141  34   9   0   3  16  17   1   4  33   0   1 
Mike Bordick             CTW     ss  30  .280  .324  .401 157  44   3   2   4  17  22   0  11  15   1   0 
Mike Bordick             WIN     ss  30  .297  .336  .480 269  80  11   1  12  47  43   2  14  30   6   3 
Toby Borland             SCQ     mr  27  .000  .000  .000   3   0   0   0   0   0   0   0   0   1   0   0 
Joe Borowski             TEW     mr  25  .000  .500  .000   1   0   0   0   0   0   0   0   1   1   0   0 
Shawn Boskie             RMO     sp  29  .154  .154  .231  13   2   1   0   0   1   0   0   0   6   0   0 
Ricky Bottalico*         FER     cl  26  .000  .000  .000   7   0   0   0   0   0   0   0   0   2   0   0 
Kent Bottenfield         OKO     mr  27  .000  .000  .000   3   0   0   0   0   0   0   0   0   2   0   0 
Darren Bragg*            EVN     cf  26  .244  .333  .315 168  41   9   0   1  28  22   1  24  29   9   1 
Darren Bragg*            TAR     cf  26  .467  .529 1.000  15   7   2   0   2   5   3   0   2   1   0   0 
Mark Brandenburg         FHK     mr  25  .000  .000  .000   7   0   0   0   0   0   1   0   0   2   0   0 
Jeff Branson*            FER     3b  29  .167  .250  .444  18   3   1   2   0   3   2   0   2   5   0   0 
Jeff Brantley            BMB     cl  32 1.000 1.000 1.000   2   2   0   0   0   1   2   0   0   0   0   0 
Jeff Brantley            CIN     cl  32  .000  .000  .000   2   0   0   0   0   0   0   0   0   0   0   0 
Tilson Brito             NEP     2b  24  .563  .632  .875  16   9   2   0   1   6   5   1   2   4   1   0 
Doug Brocail*            OKO     mr  29  .000  .000  .000   7   0   0   0   0   0   0   0   0   2   0   0 
Doug Brocail*            DLM     mr  29  .000  .000  .000   2   0   0   0   0   1   0   0   0   2   0   0 
Rico Brogna*             OKO     1b  26  .250  .294  .375  16   4   0   1   0   0   0   0   1   5   0   0 
Scott Brosius            CEN     3b  29  .333  .401  .537 460 153  38   1  18  85  68   6  50 100   9   2 
Brant Brown*             NEP     1b  25  .288  .307  .562  73  21   2   0   6  10  12   0   2  21   1   0 
Kevin Brown              FHK     sp  31  .120  .147  .163  92  11   4   0   0   5   5   0   3  39   0   0 
